=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-9-22_5-1-34
====================================================================================
5:1:34 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:StopBleeding) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:ClearInventory) has been registered!
5:1:34 | [PermissionManager] Perm (PlayerManager:EditModifiers) has been registered!
5:1:34 | [PermissionManager] Perm (MenuBansManager) has been registered!
5:1:34 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
5:1:34 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
5:1:34 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
5:1:34 | [PermissionManager] Perm (MenuSpectateTools) has been registered!
5:1:34 | [PermissionManager] Perm (MenuWebHooks) has been registered!
5:1:34 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
5:1:34 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
5:1:34 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
5:1:34 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
5:1:34 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
5:1:34 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
5:1:34 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
5:1:34 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
5:1:34 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
5:1:34 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
5:1:34 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
5:1:34 | [PermissionManager] Perm (EspToolsMenu) has been registered!
5:1:34 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
5:1:34 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
5:1:34 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
5:1:34 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
5:1:34 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
5:1:34 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
5:1:34 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
5:1:34 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
5:1:34 | [PermissionManager] Adding Super Admin (76561197978157047)
5:1:34 | [PermissionManager] Loaded UserGroups.json
5:1:34 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
5:1:34 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
5:1:34 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
5:1:34 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
5:1:34 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
5:1:34 | Building Sets Loaded: 0
5:1:34 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
5:1:34 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
5:6:33 | Player "Sepultaris" (steamId=76561197978157047) connected to server!
5:25:45 | Player "Survivor" (steamId=76561197987888713) connected to server!
5:27:28 | Player "Survivor" (steamId=76561197987888713) initiated disconnect process...
5:27:30 | Player "Survivor" (steamId=76561197987888713) disconnected early from server (EXIT NOW).
6:6:46 | Player "Sepultaris" (steamId=76561197978157047) initiated disconnect process...
6:6:47 | Player "Sepultaris" (steamId=76561197978157047) disconnected early from server (EXIT NOW).
6:22:34 | Player "Sepultaris" (steamId=76561197978157047) connected to server!
6:32:5 | "Sepultaris" (steamid=76561197978157047) toggled freecam
6:33:18 | "Sepultaris" (steamid=76561197978157047) toggled freecam
6:42:47 | Player "Sepultaris" (steamId=76561197978157047) initiated disconnect process...
6:42:49 | Player "Sepultaris" (steamId=76561197978157047) disconnected early from server (EXIT NOW).
